Video	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	sound	Behavior	Tiempo	Calidad	selec.file	Fecha	Grupo	bat_id
C0157	9	Spectrogram 1	1	88.002.295.793	9.442.737.519	1.329.897	4.979.381	2.765.625	64.251	-40.69	vocal	drumming	during	bad	C0157.Table.1.selections.txt	28-ene-24	10	5106
C0157	10	Spectrogram 1	1	99.256.904.497	100.614.315.638	1.461.929	4.203.046	2.789.062	13.574	-46.34	vocal	drumming	during	bad	C0157.Table.1.selections.txt	28-ene-24	10	5106
C0157	11	Spectrogram 1	1	106.978.236.379	107.665.991.357	1.827.411	3.959.391	2.777.344	0.6878	-38.63	vocal	drumming	before	bad	C0157.Table.1.selections.txt	28-ene-24	10	5106
C0157	12	Spectrogram 1	1	115.552.568.529	118.611.268.298	1.949.239	3776.65	2.800.781	30.587	-45.83	vocal	drumming	during	bad	C0157.Table.1.selections.txt	28-ene-24	10	5106
C0158	1	Spectrogram 1	1	70.155.029.043	70.682.224.109	1.917.526	6.494.845	2.871.094	0.5272	-48.11	vocal	no drumming	no drumming	bad	C0158.Table.1.selections.txt	28-ene-24	3	4334
C0158	2	Spectrogram 1	1	10.374.089.134	104.287.257.136	1.917.526	5.134.021	2.789.062	0.5464	-51.52	no vocal	drumming	NA		C0158.Table.1.selections.txt	28-ene-24	3	4334
C0159	1	Spectrogram 1	1	44.251.742.086	45.622.451.595	1.469.388	7.102.041	4.042.969	13.707	-45.01	vocal	drumming	during	bad	C0159.Table.1.selections.txt	28-ene-24	3	9490
C0160	1	Spectrogram 1	1	3.011.641.957	32.003.356.252	1.670.103	5.381.443	2.800.781	18.869	-48.2	vocal	drumming	during	bad	C0160.Table.1.selections.txt	28-ene-24	3	4346
C0160	2	Spectrogram 1	1	39.181.000.964	40.531.455.648	1.360.825	5.134.021	2.871.094	13.505	-46.93	no vocal	drumming	NA		C0160.Table.1.selections.txt	28-ene-24	3	4346
C0161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	NA	NA	NA	28-ene-24	1	4331
C0162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no vocal	no drumming	NA	NA	NA	28-ene-24	1	4421
