Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Spectrogram 1	1	33.237603084	34.771846732	1608.247	6123.711	2800.781	1.5342	-46.68			no vocal	drumming	
2	Spectrogram 1	1	41.176794046	42.117136927	1360.825	5814.433	2789.062	0.9403	-49.66			no vocal	drumming	
3	Spectrogram 1	1	48.874061831	49.610251323	1230.769	5107.692	2812.500	0.7362	-47.63			no vocal	drumming	
4	Spectrogram 1	1	63.937452993	64.333386838	1661.538	4738.462	2800.781	0.3959	-48.72			no vocal	drumming	
5	Spectrogram 1	1	68.230213319	68.892165216	1046.154	4861.538	1910.156	0.6620	-40.34			no vocal	drumming	
6	Spectrogram 1	1	72.016329947	72.591671315	1784.615	5292.308	2882.812	0.5753	-47.07			no vocal	drumming	
7	Spectrogram 1	1	79.866630155	80.324428663	615.385	4307.692	902.344	0.4578	-42.34			no vocal	drumming	
8	Spectrogram 1	1	121.284376338	121.606072587	1169.231	4123.077	2554.688	0.3217	-44.25			no vocal	drumming	
