Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Spectrogram 1	1	2.017198708	3.028767379	1243.362	5140.269	2531.250	1.0116	-48.40			vocal	during	god
2	Spectrogram 1	1	6.490898974	9.477435052	1793.814	5690.722	2929.688	2.9865	-48.08			vocal	during	med
3	Spectrogram 1	1	14.136771437	14.517599066	1411.765	4173.913	2636.719	0.3808	-50.19			vocal	after	med
4	Spectrogram 1	1	20.903109965	21.182780255	1473.146	4910.486	2695.312	0.2797	-50.21			vocal	no drumming	bad
5	Spectrogram 1	1	28.588064926	28.867735216	1411.765	3805.627	2636.719	0.2797	-48.81			vocal	during	med
6	Spectrogram 1	1	31.047591933	32.737514538	1227.621	4910.486	2695.312	1.6899	-47.93			vocal	before	med
8	Spectrogram 1	1	44.742402951	45.402900871	1166.240	4971.867	2589.844	0.6605	-47.53			vocal	during	med
9	Spectrogram 1	1	50.298426282	50.625700026	1411.765	5217.391	2941.406	0.3273	-48.52			vocal	no drumming	med
10	Spectrogram 1	1	54.386372864	54.927862149	1043.478	4480.818	2472.656	0.5415	-49.70			vocal	no drumming	med
11	Spectrogram 1	1	75.277378263	75.896223161	1166.240	4603.581	2484.375	0.6188	-48.77			vocal	after	med
12	Spectrogram 1	1	93.656354505	94.007429976	1166.240	4358.056	2753.906	0.3511	-50.26			vocal	before	med
13	Spectrogram 1	1	102.846718246	103.173991990	1227.621	4603.581	2777.344	0.3273	-49.54			vocal	no drumming	med
