Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Spectrogram 1	1	0.341948103	7.939440268	1546.392	7051.546	2765.625	7.5975	-50.92			vocal	during	med
3	Spectrogram 1	1	14.726487388	16.467621520	1731.959	5319.588	2542.969	1.7411	-41.74			vocal	during	bad
4	Spectrogram 1	1	20.434219509	21.169407930	1484.536	5567.010	2554.688	0.7352	-47.12			vocal	during	bad
5	Spectrogram 1	1	44.827397468	46.564695309	1546.392	4419.437	2765.625	1.7373	-49.00			vocal	during	med
6	Spectrogram 1	1	53.704310259	54.692081922	989.691	5567.010	2308.594	0.9878	-45.58			vocal	during	med
7	Spectrogram 1	1	26.378886494	26.664507216	1718.670	4480.818	2730.469	0.2856	-50.53			vocal	no drumming	bad
8	Spectrogram 1	1	30.179279598	30.429197730	797.954	4051.151	2625.000	0.2499	-48.24			vocal	no drumming	bad
9	Spectrogram 1	1	35.903594899	36.082107850	1411.765	3989.770	2742.188	0.1785	-49.52			vocal	no drumming	
10	Spectrogram 1	1	39.146882569	40.051348188	1503.836	5739.130	2707.031	0.9045	-47.76			vocal	during	med
11	Spectrogram 1	1	77.531935520	77.936564876	1595.908	3989.770	2753.906	0.4046	-50.45			vocal	during	bad
12	Spectrogram 1	1	89.103480307	89.353398439	1473.146	4358.056	2789.062	0.2499	-49.66			vocal	before	med
13	Spectrogram 1	1	103.284095987	104.950216865	920.716	5094.629	1171.875	1.6661	-40.26			no vocal	drumming	
14	Spectrogram 1	1	115.814294930	116.516445871	1289.003	4480.818	1769.531	0.7022	-40.95			vocal	during	bad
